工件id	工件大小	第1阶段名义加工时间	第2阶段名义加工时间	
1	8	37	17	
2	5	18	49	
3	6	20	43	
4	10	38	35	
5	7	28	48	
6	4	11	41	
7	6	30	36	
8	7	36	48	
9	5	45	10	
10	8	30	19	
11	1	20	11	
12	3	16	48	
13	8	13	19	
14	1	24	33	
15	2	34	19	
16	3	15	22	
17	4	22	28	
18	4	41	37	
19	5	39	30	
20	2	14	32	
21	10	44	10	
22	8	35	44	
23	5	25	12	
24	1	35	41	
25	8	45	50	
26	7	43	43	
27	1	12	12	
28	10	34	18	
29	4	15	12	
30	8	24	15	
31	4	40	13	
32	7	29	44	
33	8	17	32	
34	3	14	28	
35	8	33	26	
36	3	21	49	
37	7	12	16	
38	7	29	16	
39	7	42	44	
40	10	29	43	
41	7	46	10	
42	6	48	35	
43	9	39	38	
44	9	37	19	
45	2	12	34	
46	6	45	35	
47	7	31	43	
48	10	31	27	
49	9	46	27	
50	9	38	39	
51	1	22	40	
52	3	27	46	
53	3	29	34	
54	8	30	49	
55	3	10	13	
56	3	21	43	
57	8	15	29	
58	4	29	12	
59	4	18	45	
60	1	35	43	
61	3	23	17	
62	1	28	18	
63	4	47	12	
64	4	29	36	
65	9	14	10	
66	2	29	31	
67	2	22	27	
68	5	45	27	
69	6	40	18	
70	6	10	34	
71	10	38	17	
72	3	32	12	
73	3	25	20	
74	9	39	22	
75	4	18	41	
76	3	21	14	
77	3	27	39	
78	4	18	41	
79	9	37	27	
80	5	28	40	
81	10	46	38	
82	10	34	36	
83	1	11	17	
84	8	50	35	
85	1	50	32	
86	1	37	23	
87	9	47	27	
88	10	16	13	
89	3	36	32	
90	4	32	21	
91	3	10	29	
92	9	18	32	
93	1	37	49	
94	7	42	21	
95	9	33	48	
96	6	29	42	
97	1	11	33	
98	4	49	44	
99	7	28	19	
100	1	22	28	
